Prog,n,nbThread,timeDebut,timeEnd,duration
Integral,512,11,1485187172,1485187180,8
Integral,512,12,1485187180,1485187188,8
Integral,512,13,1485187188,1485187196,8
Integral,512,14,1485187196,1485187205,9
Integral,512,15,1485187205,1485187214,9
Integral,512,16,1485187214,1485187222,8
Integral,1024,1,1485187222,1485187230,8
Integral,1024,2,1485187230,1485187238,8
Integral,1024,3,1485187238,1485187246,8
Integral,1024,4,1485187246,1485187255,9
Integral,1024,5,1485187255,1485187263,8
Integral,1024,6,1485187263,1485187271,8
Integral,1024,7,1485187271,1485187280,9
Integral,1024,8,1485187280,1485187288,8
Integral,1024,9,1485187288,1485187296,8
Integral,1024,10,1485187296,1485187304,8
Integral,1024,11,1485187304,1485187312,8
Integral,1024,12,1485187312,1485187320,8
Integral,1024,13,1485187320,1485187328,8
Integral,1024,14,1485187328,1485187336,8
Integral,1024,15,1485187336,1485187344,8
Integral,1024,16,1485187344,1485187352,8
Integral,2048,1,1485187352,1485187360,8
Integral,2048,2,1485187360,1485187368,8
Integral,2048,3,1485187368,1485187377,9
Integral,2048,4,1485187377,1485187385,8
Integral,2048,5,1485187385,1485187393,8
Integral,2048,6,1485187393,1485187401,8
Integral,2048,7,1485187401,1485187409,8
Integral,2048,8,1485187409,1485187418,9
Integral,2048,9,1485187418,1485187426,8
Integral,2048,10,1485187426,1485187434,8
Integral,2048,11,1485187434,1485187442,8
Integral,2048,12,1485187442,1485187450,8
Integral,2048,13,1485187450,1485187458,8
Integral,2048,14,1485187458,1485187466,8
Integral,2048,15,1485187466,1485187474,8
Integral,2048,16,1485187474,1485187482,8
Integral,4096,1,1485187482,1485187491,9
Integral,4096,2,1485187491,1485187498,7
Integral,4096,3,1485187498,1485187507,9
Integral,4096,4,1485187507,1485187515,8
Integral,4096,5,1485187515,1485187523,8
Integral,4096,6,1485187523,1485187531,8
Integral,4096,7,1485187531,1485187539,8
Integral,4096,8,1485187539,1485187547,8
Integral,4096,9,1485187547,1485187555,8
Integral,4096,10,1485187555,1485187563,8
Integral,4096,11,1485187563,1485187571,8
Integral,4096,12,1485187571,1485187579,8
Integral,4096,13,1485187580,1485187587,7
Integral,4096,14,1485187587,1485187595,8
Integral,4096,15,1485187595,1485187603,8
Integral,4096,16,1485187603,1485187611,8
Integral,8192,1,1485187611,1485187619,8
Integral,8192,2,1485187619,1485187628,9
Integral,8192,3,1485187628,1485187636,8
Integral,8192,4,1485187636,1485187644,8
Integral,8192,5,1485187644,1485187652,8
Integral,8192,6,1485187652,1485187660,8
Integral,8192,7,1485187660,1485187669,9
Integral,8192,8,1485187669,1485187677,8
Integral,8192,9,1485187677,1485187685,8
Integral,8192,10,1485187685,1485187694,9
Integral,8192,11,1485187694,1485187702,8
Integral,8192,12,1485187702,1485187710,8
Integral,8192,13,1485187710,1485187718,8
Integral,8192,14,1485187718,1485187726,8
Integral,8192,15,1485187726,1485187734,8
Integral,8192,16,1485187734,1485187743,9
Integral,16384,1,1485187743,1485187751,8
Integral,16384,2,1485187751,1485187759,8
Integral,16384,3,1485187759,1485187768,9
Integral,16384,4,1485187768,1485187776,8
Integral,16384,5,1485187776,1485187784,8
Integral,16384,6,1485187784,1485187792,8
Integral,16384,7,1485187792,1485187800,8
Integral,16384,8,1485187800,1485187808,8
Integral,16384,9,1485187808,1485187817,9
Integral,16384,10,1485187817,1485187825,8
Integral,16384,11,1485187825,1485187833,8
Integral,16384,12,1485187833,1485187841,8
Integral,16384,13,1485187841,1485187849,8
Integral,16384,14,1485187849,1485187857,8
Integral,16384,15,1485187857,1485187865,8
Integral,16384,16,1485187865,1485187873,8
Integral,32768,1,1485187873,1485187881,8
Integral,32768,2,1485187881,1485187889,8
Integral,32768,3,1485187889,1485187897,8
Integral,32768,4,1485187897,1485187905,8
Integral,32768,5,1485187905,1485187913,8
Integral,32768,6,1485187913,1485187921,8
Integral,32768,7,1485187921,1485187929,8
Integral,32768,8,1485187929,1485187937,8
Integral,32768,9,1485187937,1485187945,8
Integral,32768,10,1485187945,1485187953,8
Integral,32768,11,1485187953,1485187961,8
Integral,32768,12,1485187961,1485187969,8
Integral,32768,13,1485187969,1485187977,8
Integral,32768,14,1485187977,1485187985,8
Integral,32768,15,1485187985,1485187993,8
Integral,32768,16,1485187993,1485188001,8
Integral,65536,1,1485188001,1485188009,8
Integral,65536,2,1485188009,1485188017,8
Integral,65536,3,1485188017,1485188025,8
Integral,65536,4,1485188025,1485188033,8
Integral,65536,5,1485188033,1485188042,9
Integral,65536,6,1485188042,1485188050,8
Integral,65536,7,1485188050,1485188058,8
Integral,65536,8,1485188058,1485188066,8
Integral,65536,9,1485188066,1485188074,8
Integral,65536,10,1485188074,1485188082,8
Integral,65536,11,1485188082,1485188090,8
Integral,65536,12,1485188090,1485188098,8
Integral,65536,13,1485188098,1485188107,9
Integral,65536,14,1485188107,1485188115,8
Integral,65536,15,1485188115,1485188123,8
Integral,65536,16,1485188123,1485188131,8
Integral,131072,1,1485188131,1485188139,8
Integral,131072,2,1485188139,1485188147,8
Integral,131072,3,1485188147,1485188155,8
Integral,131072,4,1485188155,1485188164,9
Integral,131072,5,1485188164,1485188172,8
Integral,131072,6,1485188172,1485188180,8
Integral,131072,7,1485188180,1485188188,8
Integral,131072,8,1485188188,1485188197,9
Integral,131072,9,1485188197,1485188205,8
Integral,131072,10,1485188205,1485188213,8
Integral,131072,11,1485188213,1485188221,8
Integral,131072,12,1485188221,1485188229,8
Integral,131072,13,1485188229,1485188238,9
Integral,131072,14,1485188238,1485188246,8
Integral,131072,15,1485188246,1485188254,8
Integral,131072,16,1485188254,1485188262,8
Integral,262144,1,1485188262,1485188270,8
Integral,262144,2,1485188270,1485188278,8
Integral,262144,3,1485188278,1485188286,8
Integral,262144,4,1485188286,1485188294,8
Integral,262144,5,1485188294,1485188302,8
Integral,262144,6,1485188302,1485188310,8
Integral,262144,7,1485188310,1485188318,8
Integral,262144,8,1485188318,1485188327,9
Integral,262144,9,1485188327,1485188335,8
Integral,262144,10,1485188335,1485188344,9
Integral,262144,11,1485188344,1485188352,8
Integral,262144,12,1485188352,1485188360,8
Integral,262144,13,1485188360,1485188369,9
Integral,262144,14,1485188369,1485188377,8
Integral,262144,15,1485188377,1485188386,9
Integral,262144,16,1485188386,1485188394,8
Integral,524288,1,1485188394,1485188403,9
Integral,524288,2,1485188403,1485188412,9
Integral,524288,3,1485188412,1485188420,8
Integral,524288,4,1485188420,1485188428,8
Integral,524288,5,1485188428,1485188436,8
Integral,524288,6,1485188436,1485188444,8
Integral,524288,7,1485188444,1485188452,8
Integral,524288,8,1485188452,1485188460,8
Integral,524288,9,1485188460,1485188468,8
Integral,524288,10,1485188468,1485188476,8
Integral,524288,11,1485188476,1485188484,8
Integral,524288,12,1485188484,1485188493,9
Integral,524288,13,1485188493,1485188501,8
Integral,524288,14,1485188501,1485188509,8
Integral,524288,15,1485188509,1485188517,8
Integral,524288,16,1485188517,1485188525,8
Integral,1048576,1,1485188525,1485188533,8
Integral,1048576,2,1485188533,1485188541,8
Integral,1048576,3,1485188541,1485188549,8
Integral,1048576,4,1485188549,1485188557,8
Integral,1048576,5,1485188557,1485188565,8
Integral,1048576,6,1485188565,1485188574,9
Integral,1048576,7,1485188574,1485188582,8
Integral,1048576,8,1485188582,1485188590,8
Integral,1048576,9,1485188590,1485188598,8
Integral,1048576,10,1485188598,1485188606,8
Integral,1048576,11,1485188606,1485188614,8
Integral,1048576,12,1485188614,1485188622,8
Integral,1048576,13,1485188622,1485188630,8
Integral,1048576,14,1485188630,1485188638,8
Integral,1048576,15,1485188638,1485188647,9
Integral,1048576,16,1485188647,1485188655,8
Integral,2097152,1,1485188655,1485188663,8
Integral,2097152,2,1485188663,1485188671,8
Integral,2097152,3,1485188671,1485188680,9
Integral,2097152,4,1485188680,1485188688,8
Integral,2097152,5,1485188688,1485188696,8
Integral,2097152,6,1485188696,1485188705,9
Integral,2097152,7,1485188705,1485188714,9
Integral,2097152,8,1485188714,1485188722,8
Integral,2097152,9,1485188722,1485188730,8
Integral,2097152,10,1485188730,1485188738,8
Integral,2097152,11,1485188738,1485188746,8
Integral,2097152,12,1485188746,1485188755,9
Integral,2097152,13,1485188755,1485188763,8
Integral,2097152,14,1485188763,1485188771,8
Integral,2097152,15,1485188771,1485188779,8
Integral,2097152,16,1485188779,1485188787,8
Integral,4194304,1,1485188787,1485188796,9
Integral,4194304,2,1485188796,1485188804,8
Integral,4194304,3,1485188804,1485188812,8
Integral,4194304,4,1485188812,1485188820,8
Integral,4194304,5,1485188820,1485188829,9
Integral,4194304,6,1485188829,1485188837,8
Integral,4194304,7,1485188837,1485188845,8
Integral,4194304,8,1485188845,1485188853,8
