Prog,n,nbThread,timeDebut,timeEnd,duration
Bigram,,1,1485184250,1485184256,6
Bigram,,2,1485184256,1485184262,6
Bigram,,3,1485184262,1485184267,5
Bigram,,4,1485184267,1485184273,6
Bigram,,5,1485184273,1485184279,6
Bigram,,1,1485184279,1485184284,5
Bigram,,2,1485184284,1485184290,6
Bigram,,3,1485184290,1485184296,6
Bigram,,4,1485184296,1485184301,5
Bigram,,5,1485184301,1485184307,6
Bigram,,1,1485184307,1485184312,5
Bigram,,2,1485184312,1485184318,6
Bigram,,3,1485184318,1485184324,6
Bigram,,4,1485184324,1485184330,6
Bigram,,5,1485184330,1485184335,5
Bigram,,1,1485184335,1485184341,6
Bigram,,2,1485184341,1485184347,6
Bigram,,3,1485184347,1485184353,6
Bigram,,4,1485184353,1485184359,6
Bigram,,5,1485184359,1485184370,11
Bigram,,1,1485184370,1485184376,6
Bigram,,2,1485184376,1485184382,6
Bigram,,3,1485184382,1485184388,6
Bigram,,4,1485184388,1485184395,7
Bigram,,5,1485184395,1485184401,6
