Prog,n,nbThread,timeDebut,timeEnd,duration
Integral,10000,1,1485175141,1485175144,3
Integral,10000,2,1485175144,1485175148,4
Integral,10000,3,1485175148,1485175151,3
Integral,10000,4,1485175151,1485175154,3
Integral,10000,5,1485175154,1485175158,4
Integral,10000,6,1485175158,1485175161,3
Integral,10000,7,1485175161,1485175164,3
Integral,10000,8,1485175164,1485175168,4
Integral,10000,9,1485175168,1485175171,3
Integral,10000,10,1485175171,1485175174,3
Integral,10000,11,1485175174,1485175178,4
Integral,10000,12,1485175178,1485175181,3
Integral,10000,13,1485175181,1485175185,4
Integral,10000,14,1485175185,1485175188,3
Integral,10000,15,1485175188,1485175191,3
Integral,10000,16,1485175191,1485175195,4
Integral,160000,1,1485175195,1485175198,3
Integral,160000,2,1485175198,1485175202,4
Integral,160000,3,1485175202,1485175205,3
Integral,160000,4,1485175205,1485175208,3
Integral,160000,5,1485175208,1485175212,4
Integral,160000,6,1485175212,1485175215,3
Integral,160000,7,1485175215,1485175218,3
Integral,160000,8,1485175218,1485175225,7
Integral,160000,9,1485175225,1485175231,6
Integral,160000,10,1485175231,1485175238,7
Integral,160000,11,1485175238,1485175244,6
Integral,160000,12,1485175244,1485175251,7
Integral,160000,13,1485175251,1485175257,6
Integral,160000,14,1485175257,1485175264,7
Integral,160000,15,1485175264,1485175270,6
Integral,160000,16,1485175270,1485175276,6
Integral,2560000,1,1485175276,1485175283,7
Integral,2560000,2,1485175283,1485175289,6
Integral,2560000,3,1485175289,1485175296,7
Integral,2560000,4,1485175296,1485175302,6
Integral,2560000,5,1485175302,1485175309,7
Integral,2560000,6,1485175309,1485175315,6
Integral,2560000,7,1485175315,1485175319,4
Integral,2560000,8,1485175319,1485175323,4
Integral,2560000,9,1485175323,1485175327,4
Integral,2560000,10,1485175327,1485175330,3
Integral,2560000,11,1485175330,1485175334,4
Integral,2560000,12,1485175334,1485175337,3
Integral,2560000,13,1485175337,1485175341,4
Integral,2560000,14,1485175341,1485175344,3
Integral,2560000,15,1485175344,1485175348,4
Integral,2560000,16,1485175348,1485175351,3
Integral,40960000,1,1485175351,1485175356,5
Integral,40960000,2,1485175356,1485175363,7
Integral,40960000,3,1485175363,1485175370,7
Integral,40960000,4,1485175370,1485175377,7
Integral,40960000,5,1485175377,1485175385,8
Integral,40960000,6,1485175385,1485175392,7
Integral,40960000,7,1485175392,1485175399,7
Integral,40960000,8,1485175399,1485175406,7
Integral,40960000,9,1485175406,1485175414,8
Integral,40960000,10,1485175414,1485175421,7
Integral,40960000,11,1485175421,1485175427,6
Integral,40960000,12,1485175427,1485175432,5
Integral,40960000,13,1485175432,1485175436,4
Integral,40960000,14,1485175436,1485175440,4
Integral,40960000,15,1485175440,1485175444,4
Integral,40960000,16,1485175444,1485175448,4
