application_1484773545759_0177,1,1,84
application_1484773545759_0178,2,1,61
application_1484773545759_0179,3,1,59
application_1484773545759_0180,4,1,86
application_1484773545759_0181,5,1,65
application_1484773545759_0182,6,1,90
application_1484773545759_0183,1,1,59
application_1484773545759_0184,2,1,48
application_1484773545759_0185,3,1,54
application_1484773545759_0186,4,1,56
application_1484773545759_0187,5,1,56
application_1484773545759_0188,6,1,54
application_1484773545759_0189,1,1,72
application_1484773545759_0190,2,1,46
application_1484773545759_0191,3,1,41
application_1484773545759_0192,4,1,52
application_1484773545759_0193,5,1,58
application_1484773545759_0194,6,1,49
application_1484773545759_0195,1,1,77
application_1484773545759_0196,2,1,54
application_1484773545759_0197,3,1,39
application_1484773545759_0198,4,1,118
application_1484773545759_0199,5,1,64
application_1484773545759_0200,6,1,77
application_1484773545759_0201,1,1,89
application_1484773545759_0202,2,1,45
application_1484773545759_0203,3,1,49
application_1484773545759_0204,4,1,50
application_1484773545759_0205,5,1,73
application_1484773545759_0206,6,1,53
application_1484773545759_0207,1,2,54
application_1484773545759_0208,2,2,50
application_1484773545759_0209,3,2,45
application_1484773545759_0210,4,2,55
application_1484773545759_0211,5,2,65
application_1484773545759_0212,6,2,58
application_1484773545759_0213,1,2,55
application_1484773545759_0214,2,2,48
application_1484773545759_0215,3,2,47
application_1484773545759_0216,4,2,49
application_1484773545759_0217,5,2,61
application_1484773545759_0218,6,2,49
application_1484773545759_0219,1,2,54
application_1484773545759_0220,2,2,42
application_1484773545759_0221,3,2,42
application_1484773545759_0222,4,2,48
application_1484773545759_0223,5,2,50
application_1484773545759_0224,6,2,50
application_1484773545759_0225,1,2,52
application_1484773545759_0226,2,2,40
application_1484773545759_0227,3,2,46
application_1484773545759_0228,4,2,49
application_1484773545759_0229,5,2,50
application_1484773545759_0230,6,2,55
application_1484773545759_0231,1,2,53
application_1484773545759_0232,2,2,34
application_1484773545759_0233,3,2,53
application_1484773545759_0234,4,2,57
application_1484773545759_0235,5,2,50
application_1484773545759_0236,6,2,59
